Journal,Rank
Clinical journal of the American Society of Nephrology : CJASN,1000
West European Politics,1001
American Journal of Gastroenterology,1002
Surface Science Reports,1003
Energy Policy,1004
Global Biogeochemical Cycles,1005
Journal of Infectious Diseases,1006
Journal of Consulting and Clinical Psychology,1007
Experimental Hematology and Oncology,1008
Quarterly Reviews of Biophysics,1009
International Journal of Nursing Studies,1010
Pain,1011
Psychometrika,1012
Environmental Politics,1013
SIAM Journal on Mathematical Analysis,1014
Economic Geology,1015
Science of Remote Sensing,1016
BioScience,1017
Computer Assisted Language Learning,1018
"Resources, Environment and Sustainability",1019
Materials Reports: Energy,1020
American Journal of Sports Medicine,1021
Mechanical Systems and Signal Processing,1022
Resuscitation,1023
Satellite Navigation,1024
World Bank Research Observer,1025
Current Protocols in Immunology,1026
Journal of Research in Interactive Marketing,1027
Sustainable Production and Consumption,1028
Landscape and Urban Planning,1029
Calculus of Variations and Partial Differential Equations,1030
Environmental Innovation and Societal Transitions,1031
Learning and Instruction,1032
Weather and Climate Dynamics,1033
Geometry and Topology,1034
Drugs,1035
Multivariate Behavioral Research,1036
International Economic Review,1037
Molecular and Cellular Proteomics,1038
Progress in Quantum Electronics,1039
OncoImmunology,1040
Human Resource Management,1041
Science Signaling,1042
IEEE Transactions on Parallel and Distributed Systems,1043
Advanced healthcare materials,1044
Oncogene,1045
Chemical Science,1046
Current Opinion in Psychiatry,1047
International Journal of Rock Mechanics and Minings Sciences,1048
Geology,1049
Current Opinion in Chemical Biology,1050
Materials Futures,1051
Modern Pathology,1052
"Transportation Research, Part D: Transport and Environment",1053
Probability Theory and Related Fields,1054
Personality and Social Psychology Bulletin,1055
Proceedings of the Annual ACM-SIAM Symposium on Discrete Algorithms,1056
European Journal of Operational Research,1057
Journal of Neuroscience,1058
Energy Research and Social Science,1059
Current Forestry Reports,1060
Emerging Microbes and Infections,1061
Science China Chemistry,1062
IEEE Transactions on Control of Network Systems,1063
CSEE Journal of Power and Energy Systems,1064
Journal of Materials Science and Technology,1065
Cell Communication and Signaling,1066
Reviews in Medical Virology,1067
Journals of Gerontology - Series B Psychological Sciences and Social Sciences,1068
Materials Today Physics,1069
Journal of the Association for Information Systems,1070
IEEE Transactions on Circuits and Systems for Video Technology,1071
Natural Product Reports,1072
American Journal of Ophthalmology,1073
Earth and Planetary Science Letters,1074
American Journal of Sociology,1075
Light: Advanced Manufacturing,1076
Current Protocols in Microbiology,1077
Sustainable Development,1078
Bone and Joint Journal,1079
European Journal of Nuclear Medicine and Molecular Imaging,1080
Geochimica et Cosmochimica Acta,1081
Journal of Modern Power Systems and Clean Energy,1082
Quantum Science and Technology,1083
npj Breast Cancer,1084
Cellular and Molecular Life Sciences,1085
Gender and Society,1086
BMC Dermatology,1087
Molecular Cancer Therapeutics,1088
Clinical Psychological Science,1089
Service Industries Journal,1090
Fiscal Studies,1091
EuroIntervention,1092
Swarm and Evolutionary Computation,1093
British Journal of Management,1094
Journal of Adolescent Health,1095
Antipode,1096
International Journal of Transgender Health,1097
ACM Transactions on Information Systems,1098
IEEE Transactions on Multimedia,1099
Modern Language Journal,1100
Journal of Clinical Immunology,1101
Research on Language and Social Interaction,1102
Basic Research in Cardiology,1103
Review of International Political Economy,1104
World Development,1105
European Economic Review,1106
Advances in Nutrition,1107
JCO Precision Oncology,1108
Journal of Clinical Periodontology,1109
Schizophrenia Bulletin,1110
Technology in Society,1111
Climate of the Past,1112
npj Quantum Materials,1113
Climate Policy,1114
Circulation: Cardiovascular Interventions,1115
Journal of Cardiovascular Magnetic Resonance,1116
Information Sciences,1117
AMS Review,1118
Advanced Industrial and Engineering Polymer Research,1119
Annual review of food science and technology,1120
American Educational Research Journal,1121
Applied and Computational Harmonic Analysis,1122
Wiley Interdisciplinary Reviews: Developmental Biology,1123
Adolescent Research Review,1124
Cellular and Molecular Biology Letters,1125
Economic Policy,1126
Journal of the American Planning Association,1127
Epilepsia,1128
Group Processes and Intergroup Relations,1129
Journal of Personality,1130
PLoS Pathogens,1131
IEEE Transactions on Dependable and Secure Computing,1132
Nano Convergence,1133
Policy and Society,1134
Statistical Science,1135
Knowledge-Based Systems,1136
PLoS Genetics,1137
Shiyou Xuebao/Acta Petrolei Sinica,1138
Social and Personality Psychology Compass,1139
Hepatology Communications,1140
Advanced Optical Materials,1141
Blood Reviews,1142
Journal of Molecular Biology,1143
Decision Support Systems,1144
Autism,1145
IEEE Transactions on Energy Conversion,1146
"Accounting, Organizations and Society",1147
Ultrasound in Obstetrics and Gynecology,1148
European heart journal. Quality of care &amp; clinical outcomes,1149
Virtual and Physical Prototyping,1150
Translational Psychiatry,1151
Corporate Social Responsibility and Environmental Management,1152
European Stroke Journal,1153
Reading Research Quarterly,1154
"Lancet Regional Health - Western Pacific, The",1155
Mobile DNA,1156
Reviews in Mineralogy and Geochemistry,1157
Clinical Reviews in Allergy and Immunology,1158
IEEE Intelligent Systems,1159
Journal of Pineal Research,1160
IEEE Transactions on Control Systems Technology,1161
Financial Analysts Journal,1162
British Journal of Social Psychology,1163
Psychiatry Research,1164
Journal of Behavioral Addictions,1165
"Transportation Research, Part A: Policy and Practice",1166
Superconductivity,1167
"Scandinavian Journal of Work, Environment and Health",1168
Journal of International Marketing,1169
Plant Journal,1170
European Child and Adolescent Psychiatry,1171
Tunnelling and Underground Space Technology,1172
Carbon,1173
Government Information Quarterly,1174
Current Protocols in Cytometry,1175
Foundations and Trends in Accounting,1176
Journal of Occupational Health Psychology,1177
Conservation Biology,1178
IEEE Transactions on Network Science and Engineering,1179
Mathematical Models and Methods in Applied Sciences,1180
Business Ethics Quarterly,1181
Group and Organization Management,1182
Limnology And Oceanography Letters,1183
Open Biology,1184
Rhinology,1185
SIAM Journal on Numerical Analysis,1186
Political Psychology,1187
Energy and AI,1188
Pharmacological Research,1189
npj Parkinson's Disease,1190
IEEE Open Journal of the Computer Society,1191
Journal of Teacher Education,1192
Journal of Controlled Release,1193
Social Media and Society,1194
International Endodontic Journal,1195
Postdigital Science and Education,1196
Journal of Rock Mechanics and Geotechnical Engineering,1197
Current Psychiatry Reports,1198
Bulletin of the American Meteorological Society,1199
British Journal of Surgery,1200
Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,1201
Decision Sciences,1202
IEEE Transactions on Automation Science and Engineering,1203
Journal of Ecology,1204
Briefings in Bioinformatics,1205
SIAM Journal on Computing,1206
New Political Economy,1207
ImmunoTargets and Therapy,1208
American Journal of Public Health,1209
Atmospheric Chemistry and Physics,1210
SIAM Journal on Optimization,1211
International Journal of Information Management Data Insights,1212
Stanford Law Review,1213
American Journal of Agricultural Economics,1214
Gastric Cancer,1215
NPG Asia Materials,1216
"Work, Employment and Society",1217
Environmental Research Letters,1218
Information Processing and Management,1219
IEEE/ASME Transactions on Mechatronics,1220
Cryosphere,1221
Environmental Pollution,1222
Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,1223
Financial Management,1224
International Journal of Cancer,1225
Journal of Applied Econometrics,1226
Addiction,1227
Critical Reviews in Clinical Laboratory Sciences,1228
Journal of Thrombosis and Haemostasis,1229
Communications Materials,1230
Experimental Economics,1231
NAR Cancer,1232
npj Vaccines,1233
Journal of the American Heart Association,1234
Studies in Second Language Acquisition,1235
Chest,1236
Journal of the American Medical Informatics Association : JAMIA,1237
Systematic Entomology,1238
Journal of Nuclear Medicine,1239
British Journal of Pharmacology,1240
Foundations and Trends in Databases,1241
IEEE Robotics and Automation Letters,1242
Journal of Abnormal Psychology,1243
New Media and Society,1244
Emerging Infectious Diseases,1245
Food Policy,1246
Materials Today Energy,1247
Neurobiology of Disease,1248
International Journal of Biological Sciences,1249
Osteoarthritis and Cartilage,1250
Current Environmental Health Reports,1251
Energy,1252
American Heart Journal,1253
Foundations and Trends in Communications and Information Theory,1254
International Journal of Applied Earth Observation and Geoinformation,1255
TrAC - Trends in Analytical Chemistry,1256
Cell Reports Methods,1257
Economic Geography,1258
Ecosystem Services,1259
Journal of the Learning Sciences,1260
npj Genomic Medicine,1261
Research,1262
JNCI Cancer Spectrum,1263
Plant Physiology,1264
Journal of Gastroenterology,1265
American Journal of Mathematics,1266
Journal of Peasant Studies,1267
Journal of Epidemiology and Community Health,1268
Communications Biology,1269
Journal of Lipid Research,1270
Supramolecular Materials,1271
ACS Photonics,1272
Acta Geotechnica,1273
Nanoscale Horizons,1274
Liver International,1275
IEEE Computational Intelligence Magazine,1276
Reviews in Fisheries Science and Aquaculture,1277
Environment and Planning A,1278
Journal of Functional Analysis,1279
Nature Reviews Urology,1280
Child Development,1281
Journal of Affective Disorders,1282
"Diabetes, Obesity and Metabolism",1283
Frontiers in Neuroendocrinology,1284
International Journal of Human Resource Management,1285
Reviews in Endocrine and Metabolic Disorders,1286
System,1287
Heart Rhythm,1288
Journal of Intelligent Manufacturing,1289
Journal of High Energy Astrophysics,1290
Public Management Review,1291
Journal of Big Data,1292
Sociological Theory,1293
International Review of Sport and Exercise Psychology,1294
Higher Education,1295
Resources Policy,1296
Epigenetics and Chromatin,1297
Annals of Intensive Care,1298
Human Resource Development Review,1299
Journal of Environmental Psychology,1300
ACS applied materials &amp; interfaces,1301
Child and Adolescent Mental Health,1302
Journal of Cleaner Production,1303
Molecular Horticulture,1304
IEEE Transactions on Visualization and Computer Graphics,1305
Photonics Research,1306
Geoscientific Model Development,1307
Biosensors and Bioelectronics,1308
Physiology,1309
Journal of Hospitality and Tourism Management,1310
Human Genetics,1311
Weather and Climate Extremes,1312
Journal of Differential Equations,1313
ChemSusChem,1314
American Journal of Preventive Medicine,1315
ACS Environmental Au,1316
Environmental DNA,1317
Journal of Cystic Fibrosis,1318
Artificial Intelligence,1319
Carbon Capture Science and Technology,1320
Journal of Business and Psychology,1321
